espn_id,name,position,season,college_team,stat_category,receptions,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,rushingTouchdowns,longRushing,completions,passingAttempts,completionPct,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,longPassing,sacks,QBRating
4692835,Jalen Brooks,WR,2020,south-carolina-gamecocks,receiving,11,100,9.1,0,27,,,,,,,,,,,,,,,
4692835,Jalen Brooks,WR,2021,south-carolina-gamecocks,receiving,14,181,12.9,1,36,,,,,,,,,,,,,,,
4692835,Jalen Brooks,WR,2022,south-carolina-gamecocks,receiving,33,504,15.3,1,54,,,,,,,,,,,,,,,
4692835,Jalen Brooks,WR,2022,south-carolina-gamecocks,rushing,,,,,,4,51,12.8,1,24,,,,,,,,,,
4240657,Michael Carter,RB,2017,north-carolina-tar-heels,rushing,,,,,,97,558,5.8,8,56,,,,,,,,,,
4240657,Michael Carter,RB,2018,north-carolina-tar-heels,rushing,,,,,,84,597,7.1,2,49,,,,,,,,,,
4240657,Michael Carter,RB,2019,north-carolina-tar-heels,rushing,,,,,,177,"1,003",5.7,3,60,,,,,,,,,,
4240657,Michael Carter,RB,2020,north-carolina-tar-heels,rushing,,,,,,156,"1,245",8.0,9,65,,,,,,,,,,
4240657,Michael Carter,RB,2017,north-carolina-tar-heels,receiving,11,100,9.1,1,24,,,,,,,,,,,,,,,
4240657,Michael Carter,RB,2018,north-carolina-tar-heels,receiving,25,135,5.4,1,31,,,,,,,,,,,,,,,
4240657,Michael Carter,RB,2019,north-carolina-tar-heels,receiving,21,154,7.3,2,41,,,,,,,,,,,,,,,
4240657,Michael Carter,RB,2020,north-carolina-tar-heels,receiving,25,267,10.7,2,46,,,,,,,,,,,,,,,
3914151,Josiah Deguara,TE,2016,cincinnati-bearcats,receiving,4,47,11.8,0,28,,,,,,,,,,,,,,,
3914151,Josiah Deguara,TE,2017,cincinnati-bearcats,receiving,11,98,8.9,0,28,,,,,,,,,,,,,,,
3914151,Josiah Deguara,TE,2018,cincinnati-bearcats,receiving,38,468,12.3,5,38,,,,,,,,,,,,,,,
3914151,Josiah Deguara,TE,2019,cincinnati-bearcats,receiving,39,504,12.9,7,73,,,,,,,,,,,,,,,
3914151,Josiah Deguara,TE,2016,cincinnati-bearcats,rushing,,,,,,1,-2,-2.0,0,0,,,,,,,,,,
3914151,Josiah Deguara,TE,2019,cincinnati-bearcats,rushing,,,,,,0,2,0.0,1,2,,,,,,,,,,
4362478,Emari Demercado,RB,2018,tcu-horned-frogs,rushing,,,,,,57,224,3.9,0,22,,,,,,,,,,
4362478,Emari Demercado,RB,2019,tcu-horned-frogs,rushing,,,,,,18,65,3.6,0,20,,,,,,,,,,
4362478,Emari Demercado,RB,2020,tcu-horned-frogs,rushing,,,,,,46,199,4.3,0,22,,,,,,,,,,
4362478,Emari Demercado,RB,2021,tcu-horned-frogs,rushing,,,,,,96,421,4.4,4,22,,,,,,,,,,
4362478,Emari Demercado,RB,2022,tcu-horned-frogs,rushing,,,,,,121,681,5.6,6,69,,,,,,,,,,
4362478,Emari Demercado,RB,2018,tcu-horned-frogs,receiving,5,8,1.6,0,7,,,,,,,,,,,,,,,
4362478,Emari Demercado,RB,2020,tcu-horned-frogs,receiving,10,110,11.0,0,52,,,,,,,,,,,,,,,
4362478,Emari Demercado,RB,2021,tcu-horned-frogs,receiving,12,94,7.8,0,16,,,,,,,,,,,,,,,
4362478,Emari Demercado,RB,2022,tcu-horned-frogs,receiving,13,65,5.0,1,18,,,,,,,,,,,,,,,
4605858,Rivaldo Fairweather,TE,2020,florida-international-panthers,receiving,10,165,16.5,1,67,,,,,,,,,,,,,,,
4605858,Rivaldo Fairweather,TE,2021,florida-international-panthers,receiving,16,247,15.4,1,41,,,,,,,,,,,,,,,
