espn_id,name,season,regular_season_games,postseason_games
4837248,Fernando Mendoza,2023,8,1
4837248,Fernando Mendoza,2024,11,0
4837248,Fernando Mendoza,2025,13,3
4685522,Ty Simpson,2022,3,0
4685522,Ty Simpson,2023,6,0
4685522,Ty Simpson,2024,6,0
4685522,Ty Simpson,2025,13,2
4567747,Garrett Nussmeier,2021,4,0
4567747,Garrett Nussmeier,2022,6,1
4567747,Garrett Nussmeier,2023,5,1
4567747,Garrett Nussmeier,2024,12,1
4567747,Garrett Nussmeier,2025,9,0
4430841,Carson Beck,2021,3,0
4430841,Carson Beck,2022,5,1
4430841,Carson Beck,2023,13,1
4430841,Carson Beck,2024,13,0
4430841,Carson Beck,2025,12,4
4714771,Drew Allar,2022,9,1
4714771,Drew Allar,2023,12,1
4714771,Drew Allar,2024,13,3
4714771,Drew Allar,2025,6,0
4685413,Cade Klubnik,2022,9,1
4685413,Cade Klubnik,2023,12,1
4685413,Cade Klubnik,2024,13,1
4685413,Cade Klubnik,2025,11,1
4432759,Sawyer Robertson,2022,3,0
4432759,Sawyer Robertson,2023,6,0
4432759,Sawyer Robertson,2024,11,1
4432759,Sawyer Robertson,2025,12,0
4870808,Jeremiyah Love,2023,12,1
4870808,Jeremiyah Love,2024,12,4
4870808,Jeremiyah Love,2025,12,0
4685512,Jadarian Price,2023,11,1
4685512,Jadarian Price,2024,12,4
4685512,Jadarian Price,2025,12,0
4832955,Emmett Johnson,2023,9,0
4832955,Emmett Johnson,2024,11,1
4832955,Emmett Johnson,2025,12,0
4702555,Jonah Coleman,2022,12,0
4702555,Jonah Coleman,2023,12,1
4702555,Jonah Coleman,2024,12,1
4702555,Jonah Coleman,2025,11,1
4686658,Mike Washington Jr.,2021,3,0
4686658,Mike Washington Jr.,2022,12,1
4686658,Mike Washington Jr.,2023,11,0
4686658,Mike Washington Jr.,2024,12,0
4686658,Mike Washington Jr.,2025,12,0
4832846,Demond Claiborne,2022,4,0
4832846,Demond Claiborne,2023,10,0
4832846,Demond Claiborne,2024,12,0
4832846,Demond Claiborne,2025,12,0
4685246,Kaytron Allen,2022,12,1
4685246,Kaytron Allen,2023,12,1
4685246,Kaytron Allen,2024,13,3
4685246,Kaytron Allen,2025,12,0
4685555,Nicholas Singleton,2022,12,1
4685555,Nicholas Singleton,2023,12,1
4685555,Nicholas Singleton,2024,12,3
4685555,Nicholas Singleton,2025,12,0
