Year,Name,College,POS,Big_Board_Rank,Height,Height_in,Weight_lbs,40_Yard,Bench_Press,Vert_Leap_in,Broad_Jump_in,Shuttle,3Cone,Hand_Size_in,Arm_Length_in
2026,Arvell Reese,Ohio State,LB,1,"6'4""",76.0,241,4.46,,,,,,,
2026,Rueben Bain Jr.,Miami,EDGE,2,"6'2.5""",74.5,263,,,,,,,,
2026,Caleb Downs,Ohio State,S,3,"5'11.5""",71.5,206,,,,,,,,
2026,Fernando Mendoza,Indiana,QB,4,"6'5""",77.0,236,,,,,,,9.5,
2026,David Bailey,Texas Tech,EDGE,5,"6'3.5""",75.5,251,4.5,,35.0,129.0,,,,
2026,Francis Mauigoa,Miami,OT,6,"6'5.5""",77.5,329,,,,,,,,33.25
2026,Sonny Styles,Ohio State,LB,7,"6'5""",77.0,244,4.46,,43.5,134.0,4.26,7.09,,
2026,Spencer Fano,Utah,OT,8,"6'5.5""",77.5,311,4.91,,32.0,111.0,,,,32.125
2026,Carnell Tate,Ohio State,WR,9,"6'2.5""",74.5,192,4.53,,,,,,,
2026,Jeremiyah Love,Notre Dame,RB,10,"6'0""",72.0,212,4.36,,,,,,,
2026,Mansoor Delane,LSU,CB,11,"6'0""",72.0,187,,,,,,,,
2026,Makai Lemon,USC,WR,12,"5'11""",71.0,192,,,,,,,,
2026,Keldric Faulk,Auburn,EDGE,13,"6'6""",78.0,276,,,35.0,117.0,,,,
2026,Kenyon Sadiq,Oregon,TE,14,"6'3""",75.0,241,4.39,,43.5,133.0,,,,
2026,Jordyn Tyson,Arizona State,WR,15,"6'2""",74.0,203,,,,,,,,
2026,Vega Ioane,Penn State,IOL,16,"6'4.5""",76.5,320,,,31.5,104.0,,,,32.75
2026,Peter Woods,Clemson,DL,17,"6'2.5""",74.5,298,,,,,,,,
2026,Denzel Boston,Washington,WR,18,"6'3.5""",75.5,212,,,35.0,,4.28,,,
2026,Monroe Freeling,Georgia,OT,19,"6'7.5""",79.5,315,4.93,,33.5,115.0,,,,34.75
2026,Caleb Lomu,Utah,OT,20,"6'6.5""",78.5,313,4.99,,32.5,113.0,,,,33.375
2026,Jermod McCoy,Tennessee,CB,21,"6'1""",73.0,188,,,,,,,,
2026,Cashius Howell,Texas A&M,EDGE,22,"6'2.5""",74.5,253,4.59,,32.5,115.0,,,,
2026,Avieon Terrell,Clemson,CB,23,"5'11""",71.0,186,,,34.0,123.0,,,,
2026,Kadyn Proctor,Alabama,OT,24,"6'6.5""",78.5,352,5.21,,32.5,109.0,,,,33.375
2026,Akheem Mesidor,Miami,EDGE,25,"6'3""",75.0,259,,,,,,,,
2026,KC Concepcion,Texas A&M,WR,26,"5'11.5""",71.5,196,,,,,,,,
2026,Dillon Thieneman,Oregon,S,27,"6'0""",72.0,201,4.35,,41.0,125.0,,,,
2026,Caleb Banks,Florida,DL,28,"6'6.5""",78.5,327,5.04,,32.0,114.0,,,,
2026,CJ Allen,Georgia,LB,29,"6'1""",73.0,230,,,,,,,,
2026,Kayden McDonald,Ohio State,DL,30,"6'2""",74.0,326,,,,,,,,
2026,Ty Simpson,Alabama,QB,31,"6'1""",73.0,211,,,,,,,9.375,
2026,Emmanuel McNeil-Warren,Toledo,S,32,"6'3.5""",75.5,201,4.52,,35.5,122.0,,,,
2026,T.J. Parker,Clemson,EDGE,33,"6'3.5""",75.5,263,4.68,,34.0,120.0,,,,
2026,Brandon Cisse,South Carolina,CB,34,"6'0""",72.0,189,,,41.0,131.0,,,,
2026,Colton Hood,Tennessee,CB,35,"5'11.5""",71.5,193,4.44,,40.5,125.0,,,,
2026,Lee Hunter,Texas Tech,DL,36,"6'3.5""",75.5,318,5.18,,21.5,100.0,,,,
2026,Blake Miller,Clemson,OT,37,"6'7""",79.0,317,5.04,,32.0,113.0,,,,34.25
2026,Max Iheanachor,Arizona State,OT,38,"6'6""",78.0,321,4.91,,30.5,115.0,,,,33.875
2026,Omar Cooper Jr.,Indiana,WR,39,"6'0""",72.0,199,4.42,,37.0,,,,,
2026,Zion Young,Missouri,EDGE,40,"6'6""",78.0,262,,,,,,,,
2026,Emmanuel Pregnon,Oregon,IOL,41,"6'4.5""",76.5,314,5.21,,35.0,111.0,,,,33.625
2026,R Mason Thomas,Oklahoma,EDGE,42,"6'2.5""",74.5,241,4.67,,,,,,,
2026,Anthony Hill Jr.,Texas,LB,43,"6'2""",74.0,238,4.51,,37.0,125.0,,,,
