Year,Name,College,POS,Big_Board_Rank,Height,Height_in,Weight_lbs,40_Yard,Bench_Press,Vert_Leap_in,Broad_Jump_in,Shuttle,3Cone,Hand_Size_in,Arm_Length_in
2026,Fernando Mendoza,Indiana,QB,4,"6'5""",77.0,236,,,,,,,9.5,
2026,Carnell Tate,Ohio State,WR,9,"6'2.5""",74.5,192,4.53,,,,,,,
2026,Jeremiyah Love,Notre Dame,RB,10,"6'0""",72.0,212,4.36,,,,,,,
2026,Makai Lemon,USC,WR,12,"5'11""",71.0,192,,,,,,,,
2026,Kenyon Sadiq,Oregon,TE,14,"6'3""",75.0,241,4.39,,43.5,133.0,,,,
2026,Jordyn Tyson,Arizona State,WR,15,"6'2""",74.0,203,,,,,,,,
2026,Denzel Boston,Washington,WR,18,"6'3.5""",75.5,212,,,35.0,,4.28,,,
2026,KC Concepcion,Texas A&M,WR,26,"5'11.5""",71.5,196,,,,,,,,
2026,Ty Simpson,Alabama,QB,31,"6'1""",73.0,211,,,,,,,9.375,
2026,Omar Cooper Jr.,Indiana,WR,39,"6'0""",72.0,199,4.42,,37.0,,,,,
2026,Malachi Fields,Notre Dame,WR,45,"6'4.5""",76.5,218,4.61,,38.0,124.0,4.35,6.98,,
2026,Chris Bell,Louisville,WR,48,"6'2""",74.0,222,,,,,,,,
2026,Zachariah Branch,Georgia,WR,50,"5'8.5""",68.5,177,4.35,,38.0,125.0,,,,
2026,Jadarian Price,Notre Dame,RB,51,"5'10.5""",70.5,203,4.49,,35.0,124.0,,,,
2026,Chris Brazzell II,Tennessee,WR,52,"6'4""",76.0,198,4.37,,,,,,,
2026,Germie Bernard,Alabama,WR,56,"6'1.5""",73.5,206,4.48,,32.5,125.0,4.31,6.71,,
2026,Elijah Sarratt,Indiana,WR,62,"6'2.5""",74.5,210,,,,,,,,
2026,Eli Stowers,Vanderbilt,TE,64,"6'4""",76.0,239,4.51,,45.5,135.0,,,,
2026,Antonio Williams,Clemson,WR,68,"5'11.5""",71.5,187,4.41,,39.5,124.0,,7.0,,
2026,Max Klare,Ohio State,TE,72,"6'4.5""",76.5,246,,,,,,,,
2026,Emmett Johnson,Nebraska,RB,75,"5'10.5""",70.5,202,4.56,,35.5,120.0,4.29,7.32,,
2026,Jonah Coleman,Washington,RB,81,"5'8""",68.0,220,,,,,,,,
2026,Garrett Nussmeier,LSU,QB,83,"6'1.5""",73.5,203,,,,,,,9.125,
2026,Michael Trigg,Baylor,TE,86,"6'4""",76.0,240,,,,,,,,
2026,Mike Washington Jr.,Arkansas,RB,89,"6'1""",73.0,223,4.33,,39.0,128.0,,,,
2026,Ja'Kobi Lane,USC,WR,90,"6'4.5""",76.5,200,4.47,,40.0,129.0,,,,
2026,Ted Hurst,Georgia State,WR,92,"6'4""",76.0,206,4.42,,36.5,135.0,,,,
2026,Deion Burks,Oklahoma,WR,93,"5'10""",70.0,180,4.3,,42.5,131.0,,,,
2026,Skyler Bell,UConn,WR,100,"5'11.5""",71.5,192,4.4,,41.0,133.0,,,,
2026,Carson Beck,Miami,QB,110,"6'5""",77.0,233,,,,,,,10.0,
2026,Brenen Thompson,Mississippi State,WR,111,"5'9.5""",69.5,164,4.26,,,,,,,
2026,Nicholas Singleton,Penn State,RB,112,"6'0.5""",72.5,219,,,,,,,,
2026,Jack Endries,Texas,TE,113,"6'4.5""",76.5,245,4.62,,36.0,119.0,,,,
2026,Justin Joly,NC State,TE,117,"6'3.5""",75.5,241,,,,,,,,
2026,Sam Roush,Stanford,TE,126,"6'6""",78.0,267,4.7,,38.5,126.0,4.37,7.08,,
2026,CJ Daniels,Miami,WR,127,"6'2.5""",74.5,202,,,,,,,,
2026,Nate Boerkircher,Texas A&M,TE,128,"6'5.5""",77.5,245,,,,,4.4,,,
2026,De'Zhaun Stribling,Ole Miss,WR,129,"6'2""",74.0,207,4.36,,36.0,127.0,,,,
2026,Kaytron Allen,Penn State,RB,130,"5'11.5""",71.5,216,,,,,,,,
2026,Drew Allar,Penn State,QB,133,"6'5.5""",77.5,228,,,,,,,9.875,
2026,Josh Cameron,Baylor,WR,135,"6'1.5""",73.5,220,,,,,,,,
2026,Demond Claiborne,Wake Forest,RB,137,"5'10""",70.0,188,4.37,,,122.0,,,,
2026,Reggie Virgil,Texas Tech,WR,138,"6'2.5""",74.5,187,4.57,,36.0,127.0,,,,
2026,Oscar Delp,Georgia,TE,144,"6'5""",77.0,245,,,,,,,,
2026,Kevin Coleman Jr.,Missouri,WR,149,"5'10.5""",70.5,179,4.49,,38.5,126.0,,,,
2026,Eli Raridon,Notre Dame,TE,153,"6'6""",78.0,245,4.62,,36.0,123.0,,,,
2026,Joe Royer,Cincinnati,TE,155,"6'5""",77.0,247,,,,,,,,
2026,Bryce Lance,North Dakota State,WR,156,"6'3.5""",75.5,204,4.34,,41.5,133.0,4.15,7.0,,
2026,Dallen Bentley,Utah,TE,163,"6'4""",76.0,253,4.62,,35.0,118.0,4.42,,,
2026,Aaron Anderson,LSU,WR,166,"5'8""",68.0,191,,,30.0,113.0,,,,
2026,Eric McAlister,TCU,WR,167,"6'3.5""",75.5,194,,,,,,,,
2026,Cade Klubnik,Clemson,QB,168,"6'2.5""",74.5,207,,,,,,,9.25,
2026,Sawyer Robertson,Baylor,QB,174,"6'4""",76.0,216,4.64,,37.5,123.0,4.46,,9.375,
2026,Eric Rivers,Georgia Tech,WR,176,"5'10""",70.0,176,4.35,,37.0,127.0,,,,
2026,Marlin Klein,Michigan,TE,178,"6'6""",78.0,248,4.61,,36.0,117.0,,7.42,,
2026,J'Mari Taylor,Virginia,RB,179,"5'10""",70.0,199,,,34.5,115.0,,,,
