espn_id,name,position,height,weight,age,dob,college_name,college_id,experience_years,team_id
2578570,Jacoby Brissett,QB,"6' 4""",235 lbs,33,1992-12-11T08:00Z,NC State,152,10,22
4692835,Jalen Brooks,WR,"6' 2""",205 lbs,25,2000-05-07T07:00Z,South Carolina,2579,3,22
2971281,Pharaoh Brown,TE,"6' 5""",246 lbs,31,1994-05-04T07:00Z,Oregon,2483,8,22
4240657,Michael Carter,RB,"5' 8""",201 lbs,26,1999-05-07T07:00Z,North Carolina,153,4,22
3914151,Josiah Deguara,TE,"6' 2""",240 lbs,29,1997-02-14T08:00Z,Cincinnati,2132,5,22
4362478,Emari Demercado,RB,"5' 9""",215 lbs,27,1999-01-20T08:00Z,TCU,2628,3,22
4605858,Rivaldo Fairweather,TE,"6' 3""",249 lbs,23,2002-07-19T07:00Z,Auburn,2,0,22
4432705,Bryson Green,WR,"6' 1""",210 lbs,23,2002-12-30T08:00Z,Wisconsin,275,0,22
4426844,Elijah Higgins,TE,"6' 3""",245 lbs,25,2000-10-27T07:00Z,Stanford,24,3,22
4431431,Corey Kiner,RB,"5' 9""",210 lbs,24,2002-01-21T08:00Z,Cincinnati,2132,0,22
4361307,Trey McBride,TE,"6' 4""",246 lbs,26,1999-11-22T08:00Z,Colorado State,36,4,22
4875912,Tejhaun Palmer,WR,"6' 1""",210 lbs,25,2000-05-19T07:00Z,UAB,5,1,22
4428512,Kedon Slovis,QB,"6' 2""",223 lbs,24,2001-04-11T07:00Z,BYU,252,1,22
4240573,Ihmir Smith-Marsette,WR,"6' 1""",185 lbs,26,1999-08-29T07:00Z,Iowa,2294,5,22
4428811,Xavier Weaver,WR,"6' 1""",185 lbs,25,2000-10-12T07:00Z,Colorado,38,2,22
4360761,Michael Wilson,WR,"6' 2""",213 lbs,26,2000-02-23T08:00Z,Stanford,24,3,22
3886809,Andre Baccellia,WR,"5' 10""",180 lbs,29,1997-01-07T08:00Z,Washington,264,2,22
4429275,Trey Benson,RB,"6' 0""",220 lbs,23,2002-07-23T07:00Z,Florida State,52,2,22
3045147,James Conner,RB,"6' 1""",233 lbs,30,1995-05-05T07:00Z,Pittsburgh,221,9,22
4037235,Greg Dortch,WR,"5' 7""",180 lbs,27,1998-05-29T07:00Z,Wake Forest,154,5,22
