Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2005,Hamza Abdullah,Washington State,SS,74.00,214,9.25,33.13,,4.65,18,39.0,114,3.98,6.51,
2005,Anthony Alabi,Texas Christian,OT,77.13,310,10.38,36.75,,5.23,18,32.5,100,4.60,,
2005,Lorenzo Alexander,California,DT,74.00,289,9.50,31.25,,5.16,28,29.5,106,4.55,7.78,
2005,Jared Allen,Florida Atlantic,QB,74.25,218,8.88,30.25,19,5.00,,27.5,106,4.39,,
2005,Derek Anderson,Oregon State,QB,78.13,242,9.88,33.00,23,5.06,,29.0,101,4.62,,
2005,Calvin Armstrong,Washington State,OT,79.13,325,10.25,34.13,,5.52,26,34.0,93,4.66,7.68,
2005,J.J. Arrington,California,RB,68.88,214,8.75,30.50,,4.45,18,35.0,116,4.10,,
2005,O.J. Atogwe,Stanford,FS,71.00,219,9.25,32.00,,4.57,22,,,,,
2005,Adrian Awasom,North Texas,DE,76.13,279,,,,4.93,23,32.5,107,4.40,,
2005,David Baas,Michigan,OG,76.50,319,10.63,32.25,,5.07,29,29.5,102,4.46,,
2005,Jonathan Babineaux,Iowa,DT,74.13,286,9.88,32.13,,4.90,21,29.5,109,4.57,,
2005,Billy Bajema,Oklahoma State,TE,76.88,261,9.88,33.25,,4.78,16,31.5,111,4.25,,
2005,Marion Barber,Minnesota,RB,71.38,221,8.88,31.50,,4.53,20,40.0,122,4.17,,
2005,Khalif Barnes,Washington,OT,77.75,305,10.13,34.00,,4.99,26,35.0,104,4.54,,
2005,Alex Barron,Florida State,OT,79.50,320,10.25,37.75,,5.27,21,35.5,109,4.56,,
2005,Ronald Bartell,Howard (DC),CB,73.25,211,10.00,31.88,,4.42,21,35.5,,,,
2005,Jordan Beck,Cal Poly,OLB,74.38,233,,,,4.60,25,41.0,128,4.12,6.92,
2005,Trey Bell,Wisconsin-Whitewater,CB,71.00,186,,,,,,,,,,
2005,Bryce Benekos,Texas-El Paso,P,77.13,227,,,,,,,,,,
2005,Cedric Benson,Texas,RB,70.50,222,,,,4.62,21,33.0,,4.30,7.50,
2005,Adam Bergen,Lehigh (PA),TE,76.38,265,10.25,33.75,,4.84,25,38.0,118,4.10,,
2005,Joe Berger,Michigan Tech,OT,77.50,303,9.00,32.13,,5.20,30,27.0,96,4.62,,
2005,Justin Beriault,Ball State (IN),FS,74.75,204,8.38,30.63,,4.57,14,39.5,124,3.80,,
2005,Brock Berlin,Miami (FL),QB,73.50,221,9.50,30.88,13,4.89,,29.0,106,4.54,,
2005,Atari Bigby,Central Florida,SS,70.75,214,9.88,30.75,,4.65,19,35.0,106,4.10,,
2005,DeCori Birmingham,Arkansas,RB,69.75,210,9.00,30.38,,4.59,14,34.5,115,4.28,7.20,
